@relation KDDTrain-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.Resample-B0.0-S1-Z18.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K5-P1000.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P125.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P150.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P800.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute duration numeric
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute hot numeric
@attribute num_failed_logins numeric
@attribute num_compromised numeric
@attribute root_shell numeric
@attribute su_attempted numeric
@attribute num_root numeric
@attribute num_file_creations numeric
@attribute num_shells numeric
@attribute num_access_files numeric
@attribute num_outbound_cmds numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute class {adduser,hydraftp,hydrassh,javameter,meterpreter,webshell}

@data
53, 0, 68, 133, 133, 124, 142, 102, 114, 10, 18, 147, 154, 172, 66, 53, 53, 43, hydraftp
115, 0, 61, 69, 117, 326, 176, 176, 173, 17, 8, 202, 135, 136, 729, 146, 56, 56, hydrassh
63, 12, 43, 2, 6, 393, 267, 0, 41, 224, 185, 129, 39, 39, 54, 40, 57, 56, javameter
37, 0, 66, 2, 0, 415, 310, 0, 0, 0, 0, 196, 53, 53, 52, 31, 44, 31, meterpreter
120, 2, 51, 2, 22, 329, 272, 0, 1, 0, 2, 72, 23, 22, 52, 90, 85, 84, webshell
65, 62, 61, 0, 0, 0, 161, 17, 0, 105, 96, 91, 18, 47, 35, 40, 48, 56, adduser
24, 64, 53, 124, 122, 120, 134, 137, 424, 5, 3, 3, 17, 32, 111, 64, 36, 55, hydraftp
73, 53, 146, 65, 326, 62, 172, 162, 162, 57, 10, 10, 35, 35, 189, 514, 49, 57, hydrassh
33, 54, 40, 0, 1550, 0, 269, 15, 0, 119, 113, 111, 39, 29, 37, 47, 40, 58, javameter
62, 56, 31, 0, 0, 0, 285, 18, 0, 0, 0, 0, 52, 52, 52, 49, 39, 51, meterpreter
11, 40, 90, 0, 10, 0, 311, 17, 0, 0, 0, 0, 49, 16, 21, 83, 82, 82, webshell
60, 59, 58, 0, 0, 0, 61, 0, 23, 0, 0, 0, 23, 56, 35, 12, 46, 0, adduser
37, 53, 48, 115, 115, 114, 53, 240, 22, 7, 7, 15, 84, 55, 159, 48, 35, 2, hydraftp
53, 56, 57, 0, 77, 65, 146, 138, 137, 5, 9, 7, 819, 57, 129, 18, 21, 2, hydrassh
44, 57, 71, 0, 0, 0, 40, 16, 26, 105, 99, 98, 55, 58, 41, 23, 47, 0, javameter
48, 44, 44, 0, 0, 0, 31, 0, 10, 0, 1, 5, 51, 51, 50, 13, 39, 4, meterpreter
72, 85, 118, 0, 0, 0, 90, 0, 26, 0, 0, 5, 55, 82, 29, 78, 75, 75, webshell
58, 57, 56, 0, 0, 35, 38, 40, 0, 0, 1, 0, 35, 35, 35, 15, 60, 163, adduser
68, 44, 55, 114, 113, 112, 172, 154, 44, 8, 2, 15, 157, 112, 94, 44, 37, 147, hydraftp
29, 112, 57, 173, 53, 111, 136, 135, 132, 10, 0, 16, 129, 111, 91, 24, 53, 202, hydrassh
46, 58, 58, 41, 1, 36, 39, 39, 478, 86, 84, 81, 37, 36, 36, 33, 44, 129, javameter
83, 34, 51, 0, 0, 49, 53, 53, 0, 0, 10, 0, 50, 49, 49, 10, 48, 196, meterpreter
44, 101, 82, 1, 2, 21, 22, 23, 6, 0, 0, 1, 22, 21, 21, 73, 72, 72, webshell
55, 54, 54, 35, 35, 0, 0, 35, 35, 0, 504, 501, 40, 35, 41, 18, 72, 501, adduser
28, 43, 44, 112, 111, 105, 234, 159, 157, 59, 0, 0, 64, 112, 37, 49, 48, 0, hydraftp
32, 56, 39, 112, 189, 70, 131, 129, 129, 9, 0, 0, 514, 112, 65, 34, 90, 0, hydrassh
25, 56, 49, 36, 37, 0, 39, 41, 37, 79, 78, 77, 47, 36, 38, 23, 46, 77, javameter
59, 31, 44, 49, 52, 0, 0, 50, 50, 11, 0, 0, 49, 49, 49, 10, 70, 0, meterpreter
17, 84, 94, 21, 21, 0, 1, 29, 22, 1, 70, 70, 83, 21, 63, 71, 71, 70, webshell
53, 48, 48, 1, 0, 0, 14, 10, 0, 53, 58, 0, 31, 60, 40, 504, 447, 41, adduser
87, 36, 32, 104, 102, 102, 25, 96, 144, 87, 48, 4, 24, 37, 2, 0, 0, 37, hydraftp
810, 49, 41, 182, 24, 176, 129, 123, 121, 810, 57, 8, 106, 53, 16, 0, 0, 65, hydrassh
72, 40, 38, 243, 0, 0, 25, 8, 3873, 72, 71, 70, 56, 44, 20, 78, 70, 38, javameter
64, 39, 24, 0, 5, 0, 13, 16, 123, 64, 44, 0, 48, 48, 47, 0, 0, 49, meterpreter
93, 82, 38, 1, 3, 0, 20, 17, 59, 93, 118, 0, 54, 72, 10, 70, 67, 63, webshell
47, 47, 46, 0, 10, 35, 15, 6, 0, 447, 135, 0, 46, 29, 58, 39, 0, 0, adduser
24, 32, 43, 100, 96, 94, 36, 91, 133, 0, 185, 5, 23, 22, 48, 44, 144, 2, hydraftp
17, 35, 34, 195, 123, 91, 121, 120, 117, 0, 97, 3, 27, 32, 57, 377, 121, 1, hydrassh
26, 29, 41, 0, 8, 36, 44, 6, 6, 70, 70, 68, 11, 47, 71, 42, 3873, 1, javameter
13, 52, 32, 0, 16, 49, 38, 9, 0, 0, 112, 0, 46, 45, 44, 61, 123, 5, meterpreter
46, 16, 50, 0, 17, 21, 49, 6, 22, 67, 94, 1, 27, 44, 118, 60, 59, 59, webshell
46, 46, 44, 0, 6, 0, 226, 71, 31, 71, 57, 56, 54, 59, 15, 28, 22, 23, adduser
35, 23, 3, 92, 91, 88, 166, 53, 22, 53, 44, 55, 44, 53, 14, 21, 24, 84, hydraftp
21, 27, 11, 11, 120, 11, 115, 115, 113, 115, 112, 57, 39, 56, 60, 56, 26, 819, hydrassh
47, 11, 23, 0, 6, 0, 334, 63, 35, 63, 58, 58, 49, 57, 52, 32, 30, 55, javameter
39, 46, 38, 0, 9, 0, 334, 37, 19, 37, 34, 51, 44, 44, 41, 32, 29, 51, meterpreter
75, 27, 21, 0, 6, 0, 414, 120, 38, 120, 101, 82, 94, 85, 38, 56, 55, 55, webshell
43, 43, 41, 53, 0, 23, 35, 57, 35, 59, 31, 54, 34, 26, 48, 38, 31, 26, adduser
8, 83, 37, 87, 86, 84, 112, 44, 112, 53, 24, 43, 3, 19, 36, 24, 24, 19, hydraftp
0, 81, 65, 810, 0, 819, 112, 112, 111, 56, 106, 56, 8, 27, 49, 37, 106, 27, hydrassh
1, 28, 38, 72, 0, 55, 36, 58, 36, 57, 56, 56, 19, 47, 40, 32, 56, 47, javameter
0, 37, 49, 64, 0, 51, 49, 34, 49, 44, 48, 31, 41, 39, 39, 32, 48, 39, meterpreter
5, 33, 63, 93, 0, 55, 21, 101, 21, 85, 54, 84, 8, 54, 82, 55, 54, 54, webshell
41, 40, 40, 43, 0, 0, 31, 0, 0, 26, 0, 0, 46, 15, 44, 23, 65, 30, adduser
49, 64, 154, 83, 83, 74, 24, 44, 45, 28, 5, 0, 35, 36, 3, 66, 68, 66, hydraftp
30, 514, 135, 81, 0, 223, 106, 106, 98, 194, 4, 0, 21, 121, 11, 729, 61, 729, hydrassh
33, 47, 39, 28, 0, 2, 56, 1, 1, 56, 55, 55, 47, 44, 23, 54, 43, 48, javameter
27, 49, 53, 37, 0, 0, 48, 0, 0, 55, 14, 0, 39, 38, 38, 52, 66, 56, meterpreter
26, 83, 23, 33, 0, 13, 54, 1, 9, 47, 0, 0, 75, 49, 21, 52, 51, 50, webshell
40, 39, 38, 0, 0, 0, 0, 135, 389, 0, 23, 0, 43, 71, 23, 46, 15, 18, adduser
2, 44, 24, 73, 73, 72, 40, 185, 15, 19, 84, 0, 83, 53, 25, 43, 36, 17, hydraftp
16, 377, 37, 0, 31, 25, 97, 97, 96, 2, 819, 0, 81, 115, 26, 34, 121, 35, hydrassh
20, 42, 32, 0, 0, 0, 0, 70, 392, 55, 55, 55, 28, 63, 35, 41, 44, 39, javameter
47, 61, 32, 0, 0, 0, 0, 112, 0, 8, 51, 0, 37, 37, 35, 32, 38, 52, meterpreter
10, 60, 55, 0, 0, 0, 5, 94, 0, 1, 55, 0, 33, 120, 35, 50, 49, 49, webshell
38, 38, 36, 10, 65, 58, 4, 35, 0, 23, 0, 62, 57, 28, 28, 26, 33, 5, adduser
172, 32, 35, 69, 68, 68, 38, 94, 31, 66, 3, 64, 44, 26, 21, 28, 17, 32, hydraftp
136, 21, 21, 57, 61, 29, 93, 91, 91, 729, 4, 53, 112, 15, 56, 194, 47, 578, hydrassh
39, 27, 25, 11, 43, 46, 2, 36, 1, 54, 54, 54, 58, 24, 32, 56, 32, 9, javameter
53, 31, 28, 6, 66, 83, 0, 49, 0, 52, 0, 56, 34, 33, 32, 55, 15, 2, meterpreter
22, 186, 420, 25, 51, 44, 1, 21, 10, 52, 0, 40, 101, 36, 56, 47, 47, 46, webshell
36, 35, 35, 0, 30, 23, 72, 0, 23, 0, 0, 0, 46, 38, 29, 10, 47, 0, adduser
36, 112, 159, 68, 66, 66, 48, 43, 16, 0, 0, 0, 43, 24, 44, 65, 24, 139, hydraftp
20, 111, 129, 0, 729, 729, 90, 84, 83, 0, 0, 0, 34, 37, 31, 16, 17, 74, hydrassh
25, 36, 41, 0, 48, 54, 46, 4, 25, 53, 53, 52, 41, 32, 35, 17, 26, 238, javameter
31, 49, 50, 0, 56, 52, 70, 0, 16, 0, 0, 0, 32, 32, 32, 13, 13, 13, meterpreter
199, 21, 29, 0, 50, 52, 71, 16, 26, 0, 0, 0, 50, 55, 45, 46, 46, 46, webshell
35, 35, 35, 31, 10, 40, 5, 43, 34, 15, 0, 54, 20, 61, 54, 29, 10, 29, adduser
94, 157, 112, 66, 65, 64, 19, 83, 59, 14, 0, 44, 1, 53, 43, 44, 31, 22, hydraftp
91, 129, 112, 66, 16, 514, 82, 81, 79, 60, 0, 39, 11, 146, 56, 31, 22, 32, hydrassh
36, 37, 36, 25, 17, 47, 25, 28, 40, 52, 49, 49, 9, 40, 56, 35, 14, 47, javameter
49, 50, 49, 30, 13, 49, 24, 37, 17, 41, 2, 44, 32, 31, 31, 32, 7, 45, meterpreter
21, 22, 21, 35, 46, 83, 11, 33, 109, 38, 0, 94, 11, 90, 84, 45, 44, 44, webshell
35, 35, 34, 0, 15, 62, 0, 7, 0, 0, 30, 0, 38, 36, 31, 58, 11, 31, adduser
16, 111, 59, 64, 64, 64, 115, 10, 139, 0, 66, 0, 32, 36, 66, 68, 38, 34, hydraftp
40, 189, 79, 30, 54, 53, 77, 76, 74, 0, 729, 0, 21, 20, 66, 29, 24, 49, hydrassh
22, 37, 40, 1, 20, 54, 0, 11, 238, 48, 48, 48, 27, 25, 25, 46, 15, 42, javameter
18, 52, 17, 0, 22, 56, 0, 11, 13, 0, 56, 0, 31, 31, 30, 83, 5, 27, meterpreter
41, 21, 109, 3, 9, 40, 0, 9, 46, 0, 50, 0, 186, 199, 35, 44, 43, 42, webshell
34, 33, 31, 0, 0, 0, 65, 0, 12, 40, 29, 26, 19, 20, 9, 23, 21, 30, adduser
3, 17, 24, 62, 60, 60, 24, 137, 6, 64, 22, 19, 12, 11, 8, 24, 20, 16, hydraftp
8, 47, 106, 17, 4, 199, 73, 70, 70, 514, 32, 27, 22, 7, 19, 13, 14, 14, hydrassh
19, 32, 56, 0, 1, 1, 33, 0, 19, 47, 47, 47, 20, 14, 14, 31, 30, 26, javameter
41, 15, 48, 0, 3, 0, 62, 0, 26, 49, 45, 39, 30, 30, 30, 25, 19, 10, meterpreter
8, 47, 54, 2, 1, 15, 11, 1, 21, 83, 44, 54, 24, 21, 18, 42, 42, 42, webshell
31, 31, 31, 0, 34, 0, 5, 0, 0, 46, 58, 72, 23, 17, 22, 35, 6, 62, adduser
0, 34, 66, 59, 59, 59, 7, 105, 26, 35, 68, 48, 12, 10, 24, 16, 16, 64, hydraftp
0, 49, 66, 14, 79, 9, 70, 70, 69, 21, 29, 90, 33, 8, 26, 40, 7, 53, hydrassh
6, 42, 25, 0, 40, 79, 12, 0, 1, 47, 46, 46, 31, 37, 30, 22, 16, 54, javameter
0, 27, 30, 0, 17, 11, 11, 0, 0, 39, 83, 70, 29, 29, 29, 18, 3, 56, meterpreter
2, 42, 35, 0, 109, 1, 7, 0, 4, 75, 44, 71, 37, 19, 55, 41, 40, 40, webshell
31, 30, 30, 2, 56, 0, 0, 7, 0, 0, 0, 15, 18, 25, 22, 27, 26, 15, adduser
22, 66, 18, 56, 55, 54, 133, 50, 28, 0, 0, 36, 9, 17, 12, 17, 20, 14, hydraftp
113, 729, 28, 15, 57, 17, 69, 67, 66, 0, 0, 121, 7, 31, 17, 45, 23, 60, hydrassh
35, 48, 20, 2, 58, 0, 2, 19, 3, 45, 45, 44, 34, 26, 18, 16, 28, 52, javameter
19, 56, 8, 1, 51, 0, 2, 26, 0, 0, 2, 38, 28, 28, 28, 13, 23, 41, meterpreter
38, 50, 37, 3, 82, 2, 2, 9, 28, 0, 0, 49, 25, 28, 29, 39, 39, 38, webshell
30, 29, 29, 61, 71, 59, 31, 0, 0, 60, 1, 65, 36, 31, 18, 48, 31, 23, adduser
16, 22, 44, 53, 53, 53, 66, 114, 124, 37, 1, 68, 35, 34, 17, 32, 22, 12, hydraftp
14, 32, 31, 146, 115, 56, 66, 65, 65, 53, 2, 61, 21, 49, 17, 41, 113, 33, hydrassh
26, 47, 35, 40, 63, 57, 25, 0, 0, 44, 44, 43, 25, 42, 23, 38, 35, 31, javameter
10, 45, 32, 31, 37, 44, 30, 0, 0, 48, 6, 66, 28, 27, 27, 24, 19, 29, meterpreter
42, 44, 45, 90, 120, 85, 35, 0, 0, 72, 0, 51, 420, 42, 28, 38, 38, 37, webshell
28, 28, 27, 0, 1, 0, 41, 1, 1411, 39, 31, 35, 20, 41, 12, 8, 27, 0, adduser
21, 26, 1, 52, 52, 52, 37, 6, 40, 44, 34, 159, 5, 49, 6, 22, 11, 0, hydraftp
56, 15, 35, 35, 19, 0, 65, 64, 64, 377, 49, 129, 25, 30, 70, 12, 19, 0, hydrassh
32, 24, 18, 36, 1, 0, 38, 0, 1254, 42, 42, 41, 19, 33, 19, 22, 30, 0, javameter
32, 33, 20, 0, 0, 0, 49, 3, 0, 61, 27, 50, 27, 27, 26, 9, 24, 0, meterpreter
56, 36, 31, 4, 4, 0, 63, 2, 0, 60, 42, 29, 1, 26, 21, 37, 37, 37, webshell
27, 27, 26, 0, 0, 0, 8, 7, 0, 46, 0, 34, 11, 7, 11, 30, 28, 25, adduser
17, 11, 28, 52, 50, 50, 33, 49, 120, 43, 114, 59, 0, 50, 2, 18, 26, 17, hydraftp
